Description,PubDate,Link
Things To Do During Labor Day Weekend in Atlanta,8/23/2016 10:50:04 AM,http://feedproxy.google.com/~r/ThingsToDoInAtlanta/~3/VSbPqFY6JA0/BlogPost.tpl.aspx
Dragon Con 101: What the Heck Is It?,8/23/2016 08:57:14 AM,http://feedproxy.google.com/~r/ThingsToDoInAtlanta/~3/9NIrdtokL60/BlogPost.tpl.aspx
8 Best Places to Celebrate National Waffle Day in Atlanta,8/22/2016 03:01:10 PM,http://feedproxy.google.com/~r/ThingsToDoInAtlanta/~3/1weZ7Y613ns/BlogPost.tpl.aspx
Things To Do Near Georgia Tech,8/22/2016 01:44:38 PM,http://feedproxy.google.com/~r/ThingsToDoInAtlanta/~3/fDu955OsoIc/BlogPost.tpl.aspx
9 Atlanta Farmers' Markets Beckon with Yummy Treats,8/22/2016 01:32:16 PM,http://feedproxy.google.com/~r/ThingsToDoInAtlanta/~3/VffJ67PGrTU/
Atlanta Architecture Stuns and Amazes,8/18/2016 11:01:18 AM,http://feedproxy.google.com/~r/ThingsToDoInAtlanta/~3/vbOLUPB3pHQ/
College Survival Guide for Parents and Students,8/17/2016 03:57:59 PM,http://feedproxy.google.com/~r/ThingsToDoInAtlanta/~3/dBdUm7ucy7w/
Things To Do In Atlanta This Weekend August 19 through August 21,8/17/2016 02:01:11 PM,http://feedproxy.google.com/~r/ThingsToDoInAtlanta/~3/b6QydYgBBq0/
Where to Get the Best College Student Discounts in Atlanta,8/17/2016 12:30:06 PM,http://feedproxy.google.com/~r/ThingsToDoInAtlanta/~3/w5c90xqpWDo/
"Your Five, Our Five: Atlanta’s Most Romantic Restaurants",8/17/2016 08:49:28 AM,http://feedproxy.google.com/~r/ThingsToDoInAtlanta/~3/J7rqT-QZHf0/
