guid,title,link,coordinates,description
b'event_793009',OLD CLYATTVILLE ROAD Westbound : I-75,http://www.511ga.org?lon1=-83.297680&lat1=30.776146&lon2=-83.297680&lat2=30.776146,"(30.776146, -83.297680)","Maintenance Activity, Minor impact.<br>All lanes closed.<br>Lowndes Co.<br>Expected clear: 9/30/2016 8:00 PM.<br>Last update: 5/9/2016 1:26 PM.<br>"
b'event_745688',I-75 Ramp Southbound : MILE POST 66,http://www.511ga.org?lon1=-83.515000&lat1=31.506000&lon2=-83.515000&lat2=31.506000,"(31.506000, -83.515000)","Construction, Major impact.<br>Exit lane closed.<br>Tift Co.<br>Expected clear: 6/30/2016 8:30 AM.<br>Last update: 4/25/2016 1:57 PM.<br>"
b'event_741522',SR 230 Both Directions : SR 27,http://www.511ga.org?lon1=-83.955840&lat1=32.074574&lon2=-83.955840&lat2=32.074574,"(32.074574, -83.955840)","Construction, Major impact.<br>All lanes closed.<br>Dooly Co.<br>Expected clear: 10/17/2016 8:00 PM.<br>Last update: 5/12/2016 8:08 AM.<br>"
b'event_781796',I-75 Ramp Southbound : MILE POST 66,http://www.511ga.org?lon1=-83.515800&lat1=31.505668&lon2=-83.515800&lat2=31.505668,"(31.505668, -83.515800)","Construction, Major impact.<br>Entrance lane closed.<br>Tift Co.<br>Expected clear: 6/30/2016 1:35 PM.<br>Last update: 4/15/2016 7:17 AM.<br>"
b'event_781884',SR 212 Both Directions : SUSONG,http://www.511ga.org?lon1=-84.071112&lat1=33.584264&lon2=-84.071112&lat2=33.584264,"(33.584264, -84.071112)","Construction, Major impact.<br>All lanes closed.<br>Rockdale Co.<br>Expected clear: 12/31/2016 11:59 PM.<br>Last update: 4/15/2016 9:39 AM.<br>"
b'event_805554',I-95 Southbound : MILE POST 53,http://www.511ga.org?lon1=-81.443656&lat1=31.416234&lon2=-81.443656&lat2=31.416234,"(31.416234, -81.443656)","Construction, Major impact.<br>Right lane (of 3) closed.<br>McIntosh Co.<br>Expected clear: tomorrow 3:00 AM.<br>Last update: today 2:58 AM.<br>"
b'event_762138',SR 368 Both Directions : ROCK BRANCH,http://www.511ga.org?lon1=-82.787856&lat1=34.235868&lon2=-82.787856&lat2=34.235868,"(34.235868, -82.787856)","Construction, Minor impact.<br>All lanes closed.<br>Elbert Co.<br>Expected clear: 8/31/2016 12:00 PM.<br>Last update: 4/14/2016 6:28 AM.<br>"
b'event_805647',SR 36 Eastbound : EARLS,http://www.511ga.org?lon1=-84.424608&lat1=32.838916&lon2=-84.424608&lat2=32.838916,"(32.838916, -84.424608)","Construction, Minor impact.<br>All lanes closed.<br>Upson Co.<br>Expected clear: today 6:00 PM.<br>Last update: today 7:57 AM.<br>"
b'event_553392',SR 133 Both Directions : MILE POST 7.32,http://www.511ga.org?lon1=-83.354600&lat1=30.852870&lon2=-83.354600&lat2=30.852870,"(30.852870, -83.354600)","Construction, Moderate impact.<br>1 lane (of 1) closed.<br>Brooks Co.<br>Expected clear: 6/30/2016 11:45 PM.<br>Last update: 11/16/2015 8:24 AM.<br>"
b'event_478767',SR 56 Both Directions : MILE POST 5,http://www.511ga.org?lon1=-81.953992&lat1=33.312442&lon2=-81.953992&lat2=33.312442,"(33.312442, -81.953992)","Construction, Moderate impact.<br>Outside 2 lanes (of 4) closed.<br>Richmond Co.<br>Expected clear: 9/14/2016 10:15 AM.<br>Last update: 5/12/2015 5:53 PM.<br>"
b'event_805653',SR 17 Both Directions : SR 17 BU,http://www.511ga.org?lon1=-83.102840&lat1=34.270952&lon2=-83.102840&lat2=34.270952,"(34.270952, -83.102840)","Maintenance Activity, Minor impact.<br>Right lane (of 4) closed.<br>Hart Co.<br>Expected clear: today 7:00 PM.<br>Last update: today 8:07 AM.<br>"
b'event_774361',I-75 Northbound : MILE POST 65.9,http://www.511ga.org?lon1=-83.515000&lat1=31.506000&lon2=-83.515000&lat2=31.506000,"(31.506000, -83.515000)","Construction, Minor impact.<br>Left lane (of 3) closed.<br>Tift Co.<br>Expected clear: 6/10/2016 9:30 PM.<br>Last update: 5/26/2016 8:46 AM.<br>"
b'event_803785',I-75 Southbound : MILE POST 67,http://www.511ga.org?lon1=-83.523072&lat1=31.528266&lon2=-83.523072&lat2=31.528266,"(31.528266, -83.523072)","Construction, Minor impact.<br>Left lane (of 3) closed.<br>Tift Co.<br>Expected clear: 6/15/2016 7:00 AM.<br>Last update: 6/1/2016 3:36 AM.<br>"
b'event_794636',SR 252 Both Directions : ALLEN OBERRY CEMETARY,http://www.511ga.org?lon1=-81.916256&lat1=30.950108&lon2=-81.916256&lat2=30.950108,"(30.950108, -81.916256)","Construction, Minor impact.<br>All lanes closed.<br>Charlton Co.<br>Expected clear: 3/14/2017 7:00 AM.<br>Last update: 5/12/2016 9:46 AM.<br>"
b'event_781802',I-75 Ramp Southbound : MILE POST 66 ,http://www.511ga.org?lon1=-83.515000&lat1=31.506000&lon2=-83.515000&lat2=31.506000,"(31.506000, -83.515000)","Construction, Major impact.<br>Exit lane closed.<br>Tift Co.<br>Expected clear: 6/30/2016 8:30 AM.<br>Last update: 4/15/2016 7:33 AM.<br>"
b'event_805563',I-20 Eastbound : SR 70/Fulton Industrial,http://www.511ga.org?lon1=-84.527000&lat1=33.766000&lon2=-84.527000&lat2=33.766000,"(33.766000, -84.527000)","Construction, Moderate impact.<br>Left 2 lanes (of 4) closed.<br>Fulton Co.<br>Expected clear: 6/6/2016 5:00 AM.<br>Last update: today 12:37 PM.<br>"
b'event_781414',I-75 Ramp Northbound : MILE POST 66,http://www.511ga.org?lon1=-83.515752&lat1=31.505752&lon2=-83.515752&lat2=31.505752,"(31.505752, -83.515752)","Construction, Major impact.<br>Entrance lane closed.<br>Tift Co.<br>Expected clear: 6/30/2016 8:30 AM.<br>Last update: 4/25/2016 1:56 PM.<br>"
b'event_792810',I-75 Northbound : MILE POST 65,http://www.511ga.org?lon1=-83.515480&lat1=31.494550&lon2=-83.515480&lat2=31.494550,"(31.494550, -83.515480)","Construction, Minor impact.<br>Right lane (of 3) closed.<br>Tift Co.<br>Expected clear: 6/8/2016 5:00 PM.<br>Last update: 5/9/2016 8:50 AM.<br>"
b'event_781336',SR 47 Both Directions : MILE POST 1,http://www.511ga.org?lon1=-82.342896&lat1=33.698240&lon2=-82.342896&lat2=33.698240,"(33.698240, -82.342896)","Construction, Major impact.<br>All lanes closed.<br>Columbia Co.<br>Expected clear: 11/27/2016 6:00 PM.<br>Last update: 4/14/2016 10:09 AM.<br>"
